ID,longitude,latitude,date_time,b,t
2001-2013,5.4249938,52.9201117,5/10/2013 10:46,1,5/10/2013 10:46
2001-2013,5.4249692,52.9201059,5/10/2013 10:56,1,5/10/2013 10:56
2001-2013,5.4250213,52.920096,5/10/2013 11:06,1,5/10/2013 11:06
2001-2013,5.4250229,52.9201038,5/10/2013 11:16,1,5/10/2013 11:16
2001-2013,5.4250381,52.9200704,5/10/2013 11:26,1,5/10/2013 11:26
2001-2013,5.4251038,52.9200475,5/10/2013 11:36,1,5/10/2013 11:36
2001-2013,5.4251691,52.9200294,5/10/2013 11:46,1,5/10/2013 11:46
2001-2013,5.4252471,52.9200158,5/10/2013 11:56,1,5/10/2013 11:56
2001-2013,5.4249478,52.9201376,5/10/2013 12:08,1,5/10/2013 12:08
2001-2013,5.4249043,52.9201509,5/10/2013 12:18,1,5/10/2013 12:18
2001-2013,5.424916,52.9201575,5/10/2013 12:28,1,5/10/2013 12:28
2001-2013,5.4249066,52.9201287,5/10/2013 12:38,1,5/10/2013 12:38
2001-2013,5.4248614,52.9201285,5/10/2013 12:48,1,5/10/2013 12:48
2001-2013,5.4248549,52.920136,5/10/2013 12:58,1,5/10/2013 12:58
2001-2013,5.4248316,52.9201473,5/10/2013 13:08,1,5/10/2013 13:08
2001-2013,5.4247766,52.9201386,5/10/2013 13:18,1,5/10/2013 13:18
2001-2013,5.4236397,52.9209057,5/10/2013 13:28,1,5/10/2013 13:28
2001-2013,5.4246887,52.9204685,5/10/2013 13:37,1,5/10/2013 13:37
2001-2013,5.4246391,52.9204954,5/10/2013 13:47,1,5/10/2013 13:47
2001-2013,5.4247471,52.9205534,5/10/2013 13:57,1,5/10/2013 13:57
2001-2013,5.4247068,52.9206088,5/10/2013 14:07,1,5/10/2013 14:07
2001-2013,5.4247573,52.920647,5/10/2013 14:17,1,5/10/2013 14:17
2001-2013,5.4245606,52.9202404,5/10/2013 14:27,1,5/10/2013 14:27
2001-2013,5.4245201,52.9202425,5/10/2013 14:37,1,5/10/2013 14:37
2001-2013,5.4245438,52.9202016,5/10/2013 14:47,1,5/10/2013 14:47
2001-2013,5.4245669,52.9202809,5/10/2013 14:57,1,5/10/2013 14:57
2001-2013,5.4245295,52.920339,5/10/2013 15:07,1,5/10/2013 15:07
2001-2013,5.4244586,52.9204663,5/10/2013 15:16,1,5/10/2013 15:16
2001-2013,5.4243474,52.9204575,5/10/2013 15:26,1,5/10/2013 15:26
2001-2013,5.4264485,52.9211591,5/10/2013 15:36,1,5/10/2013 15:36
2001-2013,5.4264373,52.921169,5/10/2013 15:46,1,5/10/2013 15:46
2001-2013,5.4246506,52.9202981,5/10/2013 15:56,1,5/10/2013 15:56
2001-2013,5.4245903,52.920355,5/10/2013 16:06,1,5/10/2013 16:06
2001-2013,5.4245475,52.9203971,5/10/2013 16:16,1,5/10/2013 16:16
